ms,EC
0,0.911
1011,0.909
2022,0.909
3034,0.910
4045,0.907
5056,0.908
6067,0.909
7078,0.909
8089,0.910
9100,0.911
10111,0.915
11122,0.915
12133,0.911
13144,0.910
14155,0.910
15166,0.911
16177,0.907
17188,0.908
18199,0.910
19210,0.911
20221,0.912
21232,0.908
22243,0.912
23254,0.911
24265,0.911
25276,0.910
26287,0.910
27298,0.911
28309,0.909
29320,0.912
30331,0.911
31342,0.910
32353,0.913
33364,0.912
34375,0.913
35386,0.911
36397,0.912
37408,0.907
38419,0.909
39430,0.908
40445,0.910
41456,0.910
42467,0.914
43478,0.912
44489,0.910
45500,0.902
46511,0.911
47522,0.913
48533,0.911
49544,0.911
50555,0.915
51566,0.911
52577,0.910
53588,0.915
54599,0.911
55610,0.912
56621,0.910
57632,0.912
58643,0.909
59654,0.910
60665,0.914
61676,0.910
62687,0.915
63698,0.912
64709,0.911
65720,0.914
66731,0.910
67742,0.909
68753,0.911
69764,0.908
70775,0.913
71786,0.912
72797,0.912
73808,0.910
74819,0.912
75830,0.912
76841,0.911
77852,0.918
78863,0.916
79874,0.913
80888,0.912
81899,0.918
82910,0.915
83921,0.914
84932,0.914
85943,0.914
86954,0.913
87965,0.917
88976,0.915
89987,0.915
90998,0.914
92009,0.916
93020,0.911
94031,0.908
95042,0.911
96053,0.914
97064,0.917
98075,0.912
99086,0.914
100097,0.915
101108,0.916
102119,0.916
103130,0.910
104141,0.914
105152,0.913
106163,0.915
107174,0.917
108185,0.895
109196,0.915
110207,0.913
111218,0.915
112229,0.917
113240,0.914
114251,0.913
115262,0.918
116273,0.913
117284,0.922
118295,0.918
119310,0.915
120321,0.916
121332,0.915
122343,0.914
123354,0.913
124365,0.913
125376,0.913
126387,0.916
127398,0.917
128409,0.913
129420,0.915
130431,0.910
131442,0.913
132453,0.916
133464,0.911
134475,0.911
135486,0.910
136497,0.913
137508,0.914
138519,0.910
139530,0.914
140541,0.914
141552,0.914
142563,0.911
143574,0.913
144585,0.911
145596,0.910
146607,0.918
147618,0.914
148629,0.896
149640,0.914
150651,0.911
151662,0.916
152673,0.913
153684,0.914
154695,0.914
155710,0.917
156721,0.912
157732,0.916
158743,0.913
159754,0.917
160765,0.915
161776,0.917
162787,0.915
163798,0.915
164809,0.918
165820,0.917
166831,0.916
167842,0.916
168853,0.913
169864,0.913
170875,0.917
171886,0.915
172897,0.919
173908,0.915
174919,0.916
175930,0.915
176941,0.914
177952,0.923
178963,0.912
179974,0.913
180985,0.913
181996,0.917
183007,0.900
184018,0.913
185039,0.916
186050,0.914
187061,0.912
188072,0.916
189083,0.914
190094,0.917
191105,0.916
192116,0.914
193130,0.920
194141,0.914
195152,0.918
196163,0.913
197174,0.916
198185,0.917
199196,0.912
200207,0.917
201218,0.918
202229,0.914
203240,0.919
204251,0.915
205262,0.914
206273,0.917
207284,0.916
208295,0.918
209306,0.918
210317,0.919
211328,0.919
212339,0.916
213350,0.918
214361,0.915
215372,0.918
216383,0.914
217394,0.915
218405,0.915
219416,0.917
220427,0.916
221438,0.914
222449,0.913
223460,0.917
224471,0.912
225506,0.914
226517,0.916
227528,0.912
228539,0.916
229553,0.918
230564,0.917
231575,0.917
232586,0.914
233597,0.913
234608,0.916
235619,0.920
236630,0.916
237649,0.918
238660,0.915
239671,0.916
240682,0.914
241693,0.912
242704,0.918
243715,0.918
244735,0.920
245746,0.915
246757,0.917
247768,0.915
248779,0.918
249790,0.914
250801,0.919
251812,0.919
252823,0.914
253834,0.915
254845,0.918
255856,0.917
256867,0.918
257878,0.913
258889,0.917
259900,0.917
260911,0.915
261922,0.921
262933,0.918
263944,0.918
264955,0.914
265966,0.915
266981,0.916
267992,0.920
269003,0.916
270014,0.934
271025,0.915
272036,0.918
273047,0.920
274058,0.915
275069,0.917
276080,0.917
277091,0.916
278102,0.918
279113,0.914
280124,0.929
281135,0.918
282146,0.917
283157,0.916
284168,0.918
285179,0.905
286190,0.918
287201,0.918
288212,0.918
289223,0.918
290235,0.918
291246,0.916
292257,0.911
293268,0.917
294279,0.913
295290,0.917
296301,0.916
297312,0.918
298323,0.921
299334,0.917
300345,0.913
301356,0.918
302367,0.912
303378,0.917
304393,0.918
305404,0.916
306415,0.917
307426,0.913
308437,0.914
309448,0.919
310459,0.915
311470,0.915
312481,0.917
313492,0.919
314503,0.907
315514,0.915
316525,0.915
317536,0.918
318547,0.916
319558,0.916
320569,0.918
321580,0.918
322591,0.918
323602,0.917
324613,0.920
325624,0.918
326635,0.914
327646,0.914
328657,0.914
329668,0.918
330679,0.916
331690,0.918
332701,0.919
333712,0.920
334723,0.917
335734,0.919
336745,0.916
337756,0.912
338767,0.914
339778,0.919
340793,0.918
341804,0.916
342815,0.917
343826,0.920
344837,0.916
345848,0.921
346859,0.913
347870,0.916
348881,0.919
349892,0.917
350903,0.923
351914,0.918
352925,0.915
353936,0.918
354947,0.916
355958,0.921
356969,0.916
357980,0.918
358991,0.919
360002,0.914
361013,0.921
362024,0.918
363035,0.917
364046,0.919
365057,0.916
366068,0.918
367079,0.920
368090,0.916
369101,0.919
370112,0.918
371123,0.920
372134,0.921
373145,0.918
374156,0.915
375167,0.916
376178,0.921
377189,0.918
378204,0.921
379215,0.913
380226,0.917
381237,0.921
382248,0.915
383259,0.912
384270,0.915
385281,0.918
386292,0.918
387303,0.917
388314,0.918
389325,0.917
390336,0.916
391347,0.919
392358,0.916
393369,0.911
394380,0.918
395391,0.920
396402,0.918
397413,0.918
398424,0.916
399435,0.921
400446,0.917
401457,0.922
402468,0.918
403479,0.918
404490,0.918
405501,0.919
406512,0.922
407523,0.914
408534,0.918
409545,0.918
410556,0.917
411567,0.922
412578,0.916
413589,0.924
414603,0.917
415614,0.921
416625,0.916
417636,0.928
418647,0.918
419658,0.915
420669,0.917
421680,0.918
422691,0.918
423702,0.918
424713,0.920
425724,0.920
426735,0.918
427746,0.915
428757,0.919
429769,0.921
430780,0.916
431791,0.919
432802,0.918
433813,0.919
434824,0.919
435835,0.917
436846,0.922
437867,0.917
438878,0.921
439889,0.919
440900,0.933
441911,0.918
442922,0.916
443933,0.916
444944,0.920
445955,0.917
446966,0.917
447977,0.921
448988,0.916
449999,0.919
451010,0.918
452049,0.918
453060,0.916
454071,0.913
455082,0.918
456093,0.918
457104,0.922
458115,0.917
459126,0.922
460137,0.919
461148,0.918
462159,0.917
463170,0.916
464181,0.919
465192,0.916
466203,0.917
467214,0.918
468225,0.919
469236,0.920
470247,0.915
471258,0.916
472269,0.920
473280,0.919
474291,0.922
475302,0.919
476313,0.917
477324,0.916
478335,0.922
479346,0.919
480357,0.916
481368,0.919
482379,0.926
483390,0.914
484409,0.917
485420,0.918
486431,0.918
487442,0.918
488466,0.917
489477,0.917
490488,0.917
491499,0.918
492510,0.916
493521,0.918
494532,0.918
495543,0.916
496554,0.917
497565,0.920
498576,0.918
499587,0.920
500598,0.922
501609,0.916
502620,0.918
503631,0.920
504642,0.920
505653,0.918
506664,0.918
507675,0.919
508686,0.909
509697,0.917
510708,0.918
511719,0.917
512730,0.917
513741,0.917
514752,0.920
515763,0.923
516774,0.918
517785,0.918
518796,0.918
519807,0.920
520818,0.920
521829,0.918
522840,0.921
