ms,sensor1
0,0.453
1011,0.453
2022,0.456
3033,0.453
4044,0.454
5055,0.449
6066,0.45
7077,0.453
8088,0.455
9099,0.435
10110,0.455
11121,0.454
12132,0.454
13143,0.453
14154,0.449
15165,0.441
16176,0.455
17187,0.457
18198,0.457
19209,0.458
20220,0.448
21231,0.454
22242,0.458
23253,0.449
24264,0.454
25275,0.454
26286,0.456
27429,0.464
28440,0.445
29451,0.445
30462,0.45
31473,0.454
32484,0.46
33495,0.448
34506,0.446
35517,0.452
36528,0.454
37539,0.456
38550,0.453
39561,0.453
40572,0.447
41583,0.457
42594,0.454
43605,0.46
44616,0.453
45637,0.438
46648,0.453
47659,0.443
48670,0.452
49681,0.452
50692,0.45
51703,0.449
52714,0.445
53725,0.453
54739,0.449
55750,0.445
56761,0.457
57772,0.454
58783,0.453
59794,0.447
60805,0.457
61816,0.441
62827,0.449
63838,0.449
64849,0.457
65860,0.449
66871,0.456
67882,0.448
68893,0.447
69904,0.449
70915,0.452
71926,0.448
72937,0.448
73948,0.452
74959,0.455
75970,0.452
76981,0.443
77992,0.449
79003,0.454
80014,0.453
81025,0.466
82040,0.453
83051,0.452
84062,0.449
85073,0.448
86084,0.449
87095,0.449
88106,0.448
89117,0.452
90128,0.452
91139,0.453
92150,0.451
93161,0.443
94172,0.453
95183,0.456
96194,0.457
97205,0.454
98216,0.454
99227,0.442
100238,0.449
101249,0.449
102260,0.452
103271,0.448
104282,0.447
105293,0.449
106304,0.452
107315,0.458
108324,0.445
109335,0.453
110346,0.451
111357,0.451
112368,0.451
113379,0.457
114390,0.454
115401,0.453
116412,0.445
117423,0.452
118434,0.443
119445,0.459
120456,0.444
121467,0.451
122478,0.448
123489,0.443
124500,0.452
125511,0.449
126522,0.449
127533,0.45
128544,0.454
129555,0.449
130566,0.452
131577,0.445
132588,0.458
133599,0.438
134614,0.452
135625,0.449
136636,0.453
137647,0.452
138658,0.456
139669,0.451
140680,0.453
141691,0.46
142702,0.45
143713,0.447
144724,0.452
145735,0.455
146746,0.465
147757,0.447
148768,0.451
149779,0.441
150790,0.445
151801,0.448
152812,0.455
153823,0.449
154834,0.453
155845,0.456
156856,0.453
157867,0.432
158878,0.453
159889,0.447
160903,0.452
161914,0.453
162925,0.451
163936,0.449
164947,0.455
165958,0.463
166969,0.441
167980,0.446
168991,0.453
170002,0.453
171013,0.462
172024,0.454
173035,0.446
174046,0.455
175057,0.448
176068,0.451
177079,0.463
178090,0.454
179101,0.448
180112,0.448
181123,0.453
182134,0.448
183145,0.454
184156,0.447
185167,0.448
186181,0.455
187192,0.451
188203,0.446
189214,0.457
190225,0.435
191237,0.442
192249,0.451
193261,0.452
194273,0.451
195284,0.453
196295,0.451
197306,0.442
198318,0.464
199330,0.456
200341,0.443
201353,0.447
202364,0.451
203376,0.46
204387,0.443
205398,0.448
206409,0.45
207420,0.447
208431,0.451
209442,0.452
210453,0.447
211464,0.449
212478,0.449
213489,0.45
214500,0.451
215511,0.458
216522,0.453
217558,0.449
218569,0.447
219580,0.449
220591,0.442
221602,0.453
222613,0.457
223624,0.465
224635,0.448
225646,0.453
226657,0.448
227668,0.45
228679,0.44
229690,0.457
230701,0.457
231712,0.458
232723,0.443
233734,0.449
234745,0.453
235756,0.451
236783,0.458
237793,0.446
238811,0.436
239822,0.451
240833,0.437
241844,0.447
242855,0.447
243866,0.448
244877,0.451
245888,0.455
246899,0.449
247910,0.451
248921,0.436
249932,0.451
250943,0.445
251954,0.447
252965,0.447
253976,0.446
254987,0.456
255998,0.45
257009,0.453
258020,0.453
259031,0.447
260042,0.452
261053,0.457
262064,0.446
263075,0.448
264089,0.451
265100,0.45
266111,0.451
267122,0.436
268133,0.448
269144,0.452
270155,0.449
271166,0.45
272177,0.449
273188,0.459
274199,0.452
275210,0.452
276221,0.452
277232,0.448
278243,0.444
279254,0.45
280265,0.45
281276,0.454
282287,0.457
283298,0.444
284309,0.445
285320,0.448
286331,0.443
287342,0.447
288353,0.456
289364,0.451
290379,0.443
291390,0.45
292401,0.45
293422,0.447
294433,0.446
295444,0.45
296455,0.452
297466,0.442
298477,0.453
299488,0.43
300499,0.461
301510,0.445
302521,0.335
303532,0.448
304543,0.454
305554,0.442
306565,0.45
307576,0.44
308587,0.457
309598,0.45
310609,0.445
311620,0.446
312631,0.449
313642,0.449
314653,0.448
315668,0.45
316679,0.453
317690,0.452
318701,0.449
319712,0.45
320723,0.448
321734,0.442
322745,0.451
323756,0.439
324767,0.447
325778,0.455
326789,0.449
327800,0.446
328811,0.449
329822,0.447
330833,0.453
331844,0.453
332855,0.45
333866,0.446
334877,0.447
335888,0.45
336899,0.45
337910,0.449
338921,0.448
339932,0.447
340943,0.448
341958,0.452
342969,0.45
343980,0.448
344991,0.45
346002,0.439
347013,0.445
348024,0.432
349035,0.449
350046,0.449
351057,0.442
352068,0.445
353079,0.442
354090,0.442
355101,0.447
356112,0.449
357123,0.449
358134,0.451
359145,0.446
360156,0.445
361167,0.441
362178,0.449
363189,0.447
364200,0.449
365211,0.445
366222,0.447
367231,0.446
368242,0.449
369253,0.449
370264,0.448
371275,0.438
372286,0.457
373297,0.448
374308,0.442
375319,0.449
376330,0.447
377341,0.443
378352,0.449
379363,0.449
380374,0.448
381385,0.452
382396,0.449
383407,0.45
384418,0.453
385429,0.445
386440,0.447
387451,0.448
388462,0.449
389473,0.445
390484,0.445
391495,0.454
392506,0.449
393520,0.447
394531,0.448
395542,0.447
396553,0.449
397564,0.446
398575,0.446
399586,0.458
400597,0.457
401608,0.449
402619,0.453
403630,0.446
404641,0.45
405652,0.446
406663,0.453
407674,0.449
408685,0.449
409696,0.445
410707,0.439
411718,0.434
412729,0.447
413740,0.456
414751,0.442
415762,0.447
416773,0.445
417784,0.45
418795,0.447
419810,0.449
420821,0.457
421832,0.455
422843,0.432
423854,0.452
424865,0.448
425876,0.454
426887,0.457
427898,0.438
428909,0.452
429920,0.449
430931,0.449
431942,0.448
432953,0.442
433964,0.448
434975,0.445
435986,0.434
436997,0.459
438008,0.448
439019,0.449
440031,0.449
441042,0.446
442078,0.438
443089,0.449
444100,0.446
445114,0.449
446125,0.448
447136,0.441
448147,0.453
449158,0.445
450169,0.444
451180,0.449
452191,0.452
453202,0.444
454213,0.431
455224,0.448
456235,0.446
457246,0.45
458257,0.449
459268,0.444
460279,0.448
461290,0.451
462301,0.449
463312,0.449
464323,0.448
465334,0.444
466345,0.445
467356,0.451
468367,0.452
469378,0.449
470389,0.445
471404,0.444
472415,0.444
473426,0.449
474437,0.452
475448,0.446
476459,0.442
477470,0.449
478481,0.448
479509,0.447
480520,0.446
481531,0.449
482542,0.449
483553,0.448
484564,0.448
485575,0.45
486586,0.445
487597,0.449
488608,0.451
489619,0.448
490630,0.447
491641,0.445
492652,0.449
493663,0.442
494674,0.444
495685,0.441
496694,0.446
497705,0.449
498716,0.448
499727,0.45
500738,0.448
501749,0.445
502760,0.45
503771,0.449
504782,0.45
505793,0.446
506804,0.44
507815,0.454
508826,0.456
509837,0.449
510848,0.439
511859,0.446
512870,0.446
513881,0.442
514892,0.448
515903,0.447
516914,0.442
517925,0.45
518936,0.445
519947,0.445
520958,0.442
521969,0.448
522984,0.445
523995,0.448
525006,0.449
526017,0.442
527028,0.446
528039,0.447
529050,0.442
530061,0.447
531072,0.448
532083,0.439
533094,0.442
534105,0.448
535116,0.451
536127,0.444
537138,0.449
538149,0.445
539160,0.446
540171,0.445
541182,0.446
542193,0.448
543204,0.448
544215,0.453
545226,0.443
546237,0.449
547248,0.449
548268,0.447
549283,0.448
550294,0.444
551305,0.449
552316,0.449
553327,0.443
554338,0.449
555349,0.437
556360,0.464
557371,0.448
558382,0.445
559393,0.449
560404,0.449
561415,0.449
562426,0.445
563437,0.447
564448,0.447
565459,0.444
566470,0.445
567481,0.444
568492,0.442
569503,0.449
570514,0.443
571525,0.444
572536,0.445
573547,0.452
574562,0.447
575573,0.448
576584,0.456
