ms,sensor1,sensor2
0,0.821,0.802
1011,0.823,0.797
2023,0.816,0.803
3034,0.819,0.802
4045,0.824,0.793
5056,0.816,0.793
6067,0.816,0.808
7078,0.822,0.797
8089,0.820,0.803
9100,0.813,0.800
10111,0.818,0.797
11123,0.813,0.797
12134,0.817,0.801
13145,0.816,0.798
14156,0.823,0.793
15168,0.813,0.801
16179,0.814,0.803
17190,0.818,0.798
18201,0.816,0.801
19212,0.818,0.799
20223,0.814,0.798
21234,0.809,0.797
22245,0.815,0.801
23256,0.812,0.805
24267,0.813,0.803
25278,0.820,0.797
26289,0.817,0.797
27451,0.817,0.802
28462,0.826,0.800
29473,0.820,0.794
30484,0.810,0.800
31495,0.822,0.800
32506,0.817,0.802
33517,0.815,0.800
34528,0.818,0.800
35539,0.813,0.803
36550,0.813,0.802
37561,0.820,0.801
38572,0.821,0.794
39583,0.821,0.794
40594,0.817,0.797
41605,0.817,0.800
42616,0.818,0.797
43627,0.817,0.798
44638,0.817,0.794
45649,0.817,0.797
46661,0.822,0.799
47672,0.817,0.796
48683,0.816,0.800
49694,0.814,0.800
50705,0.817,0.797
51716,0.813,0.801
52727,0.813,0.800
53738,0.819,0.792
54901,0.821,0.797
55912,0.822,0.794
56923,0.811,0.799
57934,0.818,0.796
58945,0.817,0.797
59956,0.818,0.800
60967,0.816,0.792
61978,0.810,0.798
62989,0.812,0.801
64000,0.816,0.797
65011,0.811,0.798
66022,0.814,0.801
67033,0.820,0.800
68044,0.814,0.799
69055,0.809,0.793
70066,0.817,0.793
71077,0.814,0.798
72088,0.814,0.794
73099,0.815,0.797
74110,0.818,0.785
75121,0.821,0.791
76132,0.818,0.794
77143,0.820,0.794
78154,0.814,0.791
79165,0.812,0.797
80176,0.817,0.794
81187,0.816,0.800
82202,0.812,0.793
83213,0.819,0.790
84224,0.814,0.796
85235,0.817,0.793
86246,0.807,0.795
87257,0.817,0.793
88268,0.817,0.795
89279,0.823,0.789
90290,0.820,0.792
91301,0.809,0.799
92312,0.812,0.797
93323,0.805,0.797
94334,0.808,0.790
95345,0.811,0.795
96356,0.815,0.797
97367,0.818,0.794
98378,0.815,0.794
99389,0.819,0.791
100400,0.812,0.797
101411,0.810,0.799
102422,0.817,0.797
103433,0.813,0.796
104444,0.823,0.795
105455,0.811,0.794
106466,0.811,0.801
107477,0.817,0.796
108486,0.820,0.792
109497,0.813,0.797
110508,0.817,0.787
111519,0.813,0.797
112530,0.810,0.793
113541,0.815,0.797
114552,0.810,0.796
115563,0.813,0.797
116574,0.816,0.796
117585,0.818,0.797
118605,0.818,0.792
119616,0.818,0.789
120627,0.817,0.796
121638,0.816,0.788
122649,0.809,0.792
123660,0.820,0.792
124671,0.812,0.792
125682,0.808,0.788
126693,0.807,0.796
127704,0.822,0.796
128715,0.806,0.794
129726,0.813,0.797
130737,0.817,0.792
131748,0.811,0.792
132759,0.817,0.789
133770,0.808,0.798
134784,0.819,0.785
135795,0.810,0.791
136806,0.813,0.793
137817,0.815,0.792
138828,0.807,0.792
139839,0.813,0.790
140850,0.815,0.791
141861,0.809,0.782
142872,0.814,0.796
143883,0.816,0.788
144894,0.816,0.791
145905,0.806,0.798
146916,0.802,0.792
147927,0.815,0.793
148938,0.811,0.790
149949,0.821,0.793
150960,0.806,0.795
151971,0.817,0.787
152982,0.812,0.788
153993,0.810,0.793
155004,0.812,0.795
156015,0.810,0.796
157026,0.812,0.790
158037,0.812,0.792
159048,0.813,0.790
160059,0.807,0.797
161073,0.813,0.796
162084,0.808,0.795
163095,0.809,0.792
164106,0.816,0.796
165117,0.816,0.788
166128,0.806,0.797
167139,0.809,0.790
168150,0.813,0.793
169161,0.810,0.794
170172,0.812,0.795
171183,0.808,0.795
172194,0.810,0.791
173205,0.821,0.791
174216,0.818,0.785
175227,0.809,0.793
176238,0.814,0.790
177249,0.809,0.796
178260,0.805,0.792
179271,0.813,0.789
180282,0.816,0.787
181293,0.816,0.786
182304,0.812,0.795
183315,0.803,0.798
184326,0.809,0.793
185337,0.806,0.795
186351,0.809,0.796
187362,0.804,0.797
188373,0.809,0.793
189384,0.814,0.793
190395,0.809,0.791
191406,0.809,0.793
192417,0.809,0.792
193428,0.809,0.793
194439,0.807,0.788
195450,0.808,0.791
196461,0.813,0.789
197472,0.815,0.791
198483,0.811,0.789
199494,0.813,0.793
200505,0.804,0.791
201516,0.814,0.790
202527,0.815,0.789
203538,0.809,0.790
204549,0.808,0.793
205560,0.809,0.793
206571,0.809,0.791
207582,0.806,0.793
208593,0.801,0.790
209604,0.805,0.793
210615,0.805,0.793
211626,0.809,0.790
212671,0.811,0.790
213682,0.809,0.792
214693,0.805,0.790
215704,0.809,0.789
216715,0.809,0.789
217726,0.805,0.794
218737,0.817,0.790
219748,0.805,0.789
220759,0.802,0.788
221770,0.803,0.792
222781,0.806,0.793
223792,0.803,0.794
224803,0.805,0.790
225814,0.800,0.793
226825,0.804,0.784
227836,0.801,0.797
228847,0.813,0.783
229858,0.802,0.785
230869,0.803,0.792
231880,0.808,0.787
232891,0.802,0.791
233902,0.809,0.788
234913,0.801,0.795
235925,0.801,0.786
236936,0.812,0.792
237945,0.806,0.791
238964,0.806,0.789
239975,0.808,0.793
240986,0.807,0.789
241997,0.803,0.790
243026,0.809,0.785
244037,0.805,0.785
245048,0.801,0.792
246059,0.804,0.793
247070,0.801,0.785
248081,0.801,0.791
249092,0.810,0.785
250103,0.792,0.789
251114,0.810,0.786
252125,0.801,0.789
253136,0.809,0.793
254147,0.801,0.784
255158,0.810,0.782
256169,0.812,0.790
257180,0.813,0.785
258191,0.805,0.788
259202,0.799,0.786
260213,0.799,0.795
261224,0.805,0.785
262235,0.806,0.784
263246,0.809,0.790
264261,0.801,0.790
265273,0.802,0.793
266284,0.809,0.785
267295,0.803,0.791
268306,0.796,0.792
269317,0.805,0.785
270328,0.797,0.787
271339,0.803,0.789
272350,0.813,0.786
273361,0.804,0.790
274372,0.804,0.791
275383,0.812,0.791
276394,0.807,0.783
277405,0.801,0.788
278416,0.802,0.791
279427,0.808,0.790
280438,0.813,0.786
281449,0.803,0.790
282460,0.809,0.785
283471,0.813,0.787
284482,0.807,0.792
285493,0.797,0.787
286504,0.802,0.792
287515,0.801,0.791
288526,0.803,0.785
289537,0.804,0.787
290552,0.812,0.785
291563,0.806,0.785
292575,0.806,0.790
293586,0.803,0.789
294597,0.811,0.783
295608,0.804,0.789
296619,0.804,0.785
297630,0.801,0.790
298641,0.804,0.787
299652,0.809,0.786
300663,0.800,0.791
301674,0.801,0.787
302685,0.808,0.782
303696,0.802,0.785
304707,0.804,0.785
305718,0.809,0.788
306729,0.806,0.783
307740,0.808,0.786
308751,0.798,0.788
309762,0.805,0.782
310773,0.804,0.782
311784,0.806,0.790
312795,0.801,0.788
313806,0.802,0.782
314817,0.800,0.789
315832,0.802,0.786
316843,0.804,0.781
317854,0.805,0.790
318866,0.809,0.782
319877,0.808,0.789
320888,0.800,0.790
321899,0.803,0.782
322910,0.802,0.781
323921,0.801,0.789
324932,0.797,0.783
325943,0.808,0.779
326954,0.804,0.786
327965,0.801,0.785
328976,0.801,0.785
329987,0.802,0.785
330998,0.809,0.780
332009,0.804,0.783
333020,0.802,0.785
334031,0.806,0.779
335042,0.809,0.784
336053,0.813,0.784
337064,0.797,0.790
338075,0.799,0.788
339086,0.801,0.789
340097,0.808,0.785
341108,0.809,0.778
342123,0.803,0.783
343134,0.811,0.784
344145,0.799,0.789
345156,0.797,0.788
346167,0.801,0.784
347178,0.806,0.781
348189,0.796,0.782
349200,0.799,0.790
350211,0.797,0.789
351222,0.801,0.785
352233,0.801,0.785
353244,0.801,0.784
354255,0.801,0.789
355266,0.802,0.785
356277,0.801,0.783
357288,0.800,0.781
358299,0.800,0.789
359310,0.802,0.787
360321,0.807,0.781
361332,0.794,0.787
362343,0.808,0.785
363354,0.808,0.782
364365,0.805,0.781
365376,0.808,0.782
366387,0.800,0.787
367396,0.803,0.781
368407,0.805,0.781
369418,0.796,0.785
370429,0.811,0.784
371449,0.798,0.787
372460,0.809,0.782
373471,0.804,0.788
374482,0.800,0.783
375493,0.797,0.789
376504,0.807,0.781
377515,0.793,0.784
378526,0.803,0.781
379537,0.806,0.781
380548,0.797,0.783
381559,0.798,0.783
382570,0.800,0.790
383581,0.802,0.782
384592,0.803,0.790
385603,0.810,0.777
386614,0.801,0.782
387625,0.801,0.784
388636,0.809,0.785
389647,0.796,0.786
390658,0.800,0.785
391669,0.800,0.781
392680,0.797,0.787
393695,0.801,0.784
394706,0.806,0.779
395717,0.796,0.783
396728,0.805,0.781
397739,0.799,0.785
398750,0.796,0.789
399761,0.804,0.785
400772,0.806,0.782
401783,0.799,0.789
402794,0.798,0.784
403805,0.797,0.786
404816,0.803,0.781
405827,0.795,0.787
406838,0.794,0.786
407849,0.799,0.778
408860,0.796,0.787
409871,0.801,0.782
410882,0.809,0.785
411893,0.804,0.782
412904,0.804,0.779
413915,0.799,0.781
414926,0.805,0.784
415937,0.795,0.783
416948,0.800,0.786
417959,0.803,0.778
418970,0.794,0.781
419985,0.799,0.786
420996,0.801,0.781
422007,0.803,0.785
423018,0.792,0.781
424029,0.801,0.781
425040,0.793,0.785
426082,0.804,0.782
427093,0.796,0.785
428104,0.801,0.786
429115,0.793,0.785
430126,0.797,0.778
431137,0.800,0.785
432148,0.794,0.784
433159,0.800,0.782
434170,0.799,0.781
435181,0.801,0.781
436192,0.800,0.782
437203,0.801,0.778
438214,0.794,0.782
439225,0.797,0.786
440236,0.793,0.782
441247,0.797,0.783
442258,0.793,0.787
443269,0.795,0.784
444280,0.803,0.782
445295,0.797,0.785
446306,0.804,0.782
447317,0.794,0.786
448328,0.806,0.777
449339,0.799,0.780
450350,0.793,0.786
451361,0.800,0.778
452372,0.796,0.779
453383,0.796,0.785
454394,0.803,0.768
455405,0.799,0.785
456417,0.797,0.780
457428,0.793,0.788
458439,0.801,0.781
459450,0.797,0.784
460461,0.801,0.778
461472,0.793,0.785
462483,0.797,0.785
463494,0.799,0.780
464505,0.795,0.783
465516,0.801,0.782
466527,0.801,0.779
467538,0.796,0.784
468549,0.800,0.781
469560,0.804,0.780
470571,0.797,0.786
471586,0.801,0.784
472597,0.800,0.782
473608,0.796,0.787
474619,0.804,0.779
475630,0.792,0.786
476641,0.802,0.778
477652,0.808,0.784
478663,0.797,0.789
479674,0.800,0.781
480685,0.800,0.781
481696,0.804,0.786
482707,0.801,0.778
483718,0.798,0.784
484729,0.799,0.786
485758,0.802,0.779
486769,0.797,0.785
487780,0.801,0.781
488791,0.796,0.784
489802,0.793,0.786
490813,0.794,0.780
491824,0.797,0.781
492835,0.802,0.776
493846,0.798,0.783
494857,0.799,0.779
495868,0.797,0.781
496877,0.801,0.786
497888,0.802,0.780
498899,0.803,0.779
499910,0.796,0.785
500921,0.792,0.786
501932,0.803,0.781
502943,0.796,0.783
503954,0.797,0.784
504965,0.797,0.780
505976,0.799,0.781
506987,0.793,0.784
507998,0.796,0.778
509009,0.789,0.785
510020,0.801,0.783
511031,0.801,0.779
512042,0.800,0.777
513053,0.793,0.779
514064,0.793,0.782
515075,0.795,0.786
516086,0.802,0.780
517097,0.805,0.777
518108,0.798,0.780
519119,0.797,0.788
520130,0.801,0.787
521141,0.804,0.785
522152,0.803,0.782
523167,0.800,0.778
524178,0.789,0.781
525189,0.798,0.782
526200,0.800,0.784
527211,0.795,0.785
528223,0.801,0.779
529234,0.793,0.785
530245,0.794,0.784
531256,0.794,0.785
532267,0.804,0.781
533278,0.795,0.780
534289,0.797,0.779
535300,0.789,0.782
536311,0.798,0.782
537322,0.800,0.780
538333,0.793,0.778
539344,0.793,0.780
540355,0.805,0.781
541366,0.789,0.787
542377,0.796,0.780
543388,0.788,0.785
544399,0.798,0.778
545410,0.790,0.785
546421,0.801,0.777
547432,0.797,0.780
548443,0.801,0.784
549458,0.791,0.785
550469,0.793,0.784
551480,0.802,0.781
552491,0.793,0.778
553502,0.793,0.785
554513,0.789,0.788
555524,0.801,0.772
556535,0.803,0.781
557546,0.795,0.781
558557,0.798,0.785
559568,0.791,0.781
560579,0.793,0.781
561590,0.799,0.779
562601,0.795,0.776
563612,0.799,0.781
564623,0.793,0.780
565634,0.801,0.765
566645,0.795,0.782
567656,0.793,0.782
568667,0.790,0.786
569678,0.800,0.778
570689,0.797,0.782
571700,0.797,0.782
572711,0.792,0.779
573722,0.799,0.778
574737,0.793,0.784
575748,0.789,0.781
576759,0.790,0.787
577770,0.791,0.785
578781,0.797,0.779
579792,0.800,0.776
580803,0.796,0.779
581814,0.795,0.782
582825,0.796,0.779
583836,0.798,0.778
584847,0.799,0.779
585858,0.795,0.777
586869,0.793,0.782
587880,0.795,0.778
588891,0.789,0.780
589902,0.796,0.778
590913,0.793,0.780
591924,0.804,0.781
592935,0.793,0.781
593946,0.797,0.781
594957,0.800,0.774
595968,0.803,0.779
596979,0.800,0.780
597991,0.793,0.782
599002,0.794,0.785
600013,0.796,0.779
601028,0.791,0.785
602039,0.795,0.779
603050,0.793,0.785
604061,0.797,0.778
605072,0.800,0.781
606083,0.797,0.778
607094,0.796,0.775
608105,0.790,0.782
609116,0.790,0.782
610127,0.792,0.781
611138,0.798,0.778
612149,0.797,0.783
613160,0.800,0.782
614171,0.796,0.778
615182,0.792,0.785
616193,0.791,0.783
617204,0.790,0.783
618215,0.798,0.775
619226,0.796,0.784
620237,0.792,0.785
621248,0.796,0.781
622259,0.789,0.782
623270,0.801,0.781
624281,0.799,0.778
625292,0.795,0.779
626301,0.800,0.783
627312,0.791,0.781
628332,0.799,0.771
629343,0.801,0.783
630354,0.797,0.777
631365,0.792,0.782
632376,0.798,0.781
633387,0.798,0.781
634398,0.797,0.780
635409,0.797,0.782
636420,0.794,0.778
637431,0.789,0.783
638442,0.799,0.781
639484,0.794,0.777
640495,0.792,0.777
641506,0.786,0.783
642517,0.797,0.775
643528,0.801,0.780
644539,0.787,0.778
645550,0.791,0.787
646561,0.789,0.785
647572,0.796,0.792
648583,0.785,0.780
649594,0.790,0.785
650605,0.797,0.776
651616,0.793,0.779
652631,0.793,0.781
653642,0.798,0.775
654653,0.781,0.773
655664,0.791,0.778
656675,0.790,0.784
657686,0.793,0.779
658697,0.794,0.780
659708,0.795,0.779
660719,0.799,0.775
661730,0.792,0.781
662741,0.789,0.782
663752,0.789,0.783
664763,0.790,0.784
665774,0.788,0.780
666785,0.795,0.781
667796,0.789,0.781
668807,0.786,0.778
669818,0.793,0.777
670829,0.792,0.782
671840,0.787,0.777
672851,0.790,0.776
673862,0.795,0.776
674873,0.796,0.779
675884,0.788,0.784
676895,0.792,0.780
677906,0.795,0.776
678921,0.793,0.774
679932,0.797,0.774
680943,0.793,0.780
681954,0.794,0.779
682965,0.792,0.778
683976,0.794,0.782
684987,0.788,0.781
685998,0.793,0.778
687009,0.795,0.780
688020,0.800,0.777
689031,0.794,0.774
690042,0.787,0.778
691053,0.796,0.776
692064,0.793,0.779
693075,0.788,0.784
694086,0.788,0.783
695097,0.793,0.780
696108,0.788,0.781
697119,0.794,0.780
698130,0.793,0.774
699141,0.793,0.777
700152,0.798,0.781
701163,0.790,0.782
702174,0.786,0.783
703185,0.796,0.784
704200,0.785,0.782
705211,0.797,0.773
706222,0.793,0.781
707233,0.790,0.774
708244,0.792,0.778
709255,0.798,0.780
710266,0.788,0.781
711277,0.793,0.779
712288,0.796,0.778
713299,0.797,0.779
714310,0.785,0.776
715321,0.796,0.772
716332,0.788,0.775
717343,0.789,0.783
718354,0.791,0.779
719365,0.795,0.783
720376,0.783,0.786
721387,0.789,0.781
722398,0.782,0.777
723409,0.789,0.777
724420,0.789,0.780
725431,0.793,0.774
726442,0.797,0.774
727453,0.797,0.775
728472,0.793,0.777
729492,0.795,0.781
730507,0.793,0.779
731518,0.798,0.778
732529,0.793,0.778
733540,0.794,0.772
734551,0.785,0.781
735562,0.795,0.778
736573,0.797,0.773
737584,0.786,0.776
738595,0.792,0.777
739606,0.796,0.778
740617,0.797,0.777
741628,0.798,0.775
742639,0.792,0.777
743650,0.789,0.778
744661,0.792,0.779
745672,0.790,0.779
746683,0.787,0.776
747694,0.793,0.777
748705,0.798,0.783
749716,0.797,0.779
750727,0.791,0.778
751738,0.798,0.777
752749,0.783,0.781
753760,0.789,0.781
754771,0.797,0.775
755780,0.798,0.778
756792,0.788,0.780
757803,0.796,0.774
758815,0.790,0.778
759826,0.796,0.773
760837,0.787,0.774
761848,0.786,0.778
762859,0.786,0.785
763870,0.795,0.777
764881,0.797,0.774
765892,0.785,0.783
766903,0.794,0.773
767914,0.795,0.778
768925,0.794,0.779
769936,0.791,0.778
770947,0.798,0.775
771958,0.788,0.773
772969,0.785,0.777
773980,0.789,0.774
774991,0.797,0.778
776002,0.791,0.779
777013,0.788,0.779
778024,0.790,0.775
779035,0.786,0.781
780046,0.787,0.778
781057,0.785,0.778
782072,0.789,0.778
783083,0.794,0.779
784094,0.790,0.778
785105,0.794,0.777
786117,0.787,0.781
787128,0.786,0.781
788139,0.796,0.771
789150,0.788,0.774
790161,0.793,0.779
791172,0.793,0.772
792183,0.797,0.780
793194,0.789,0.779
794205,0.786,0.782
795216,0.785,0.775
796227,0.782,0.778
797238,0.794,0.774
798249,0.786,0.782
799260,0.797,0.771
800271,0.793,0.777
801282,0.785,0.779
802293,0.788,0.777
803304,0.792,0.772
804315,0.785,0.781
805326,0.786,0.780
806337,0.792,0.772
807348,0.795,0.777
808363,0.794,0.775
809374,0.784,0.785
810385,0.792,0.778
811396,0.785,0.781
812407,0.784,0.781
813418,0.788,0.778
814429,0.793,0.781
815440,0.785,0.775
816451,0.788,0.779
817462,0.790,0.781
818473,0.794,0.775
819484,0.781,0.782
820495,0.781,0.779
821506,0.790,0.777
822517,0.796,0.777
823528,0.790,0.777
824539,0.794,0.774
825550,0.784,0.781
826561,0.787,0.778
827572,0.789,0.777
828583,0.783,0.774
829594,0.789,0.777
830605,0.788,0.768
831616,0.793,0.775
832627,0.793,0.778
833641,0.795,0.780
834652,0.797,0.770
835663,0.789,0.775
836674,0.783,0.783
837685,0.793,0.777
838697,0.791,0.773
839708,0.785,0.771
840719,0.785,0.781
841730,0.782,0.780
842741,0.795,0.778
843752,0.785,0.778
844763,0.791,0.777
845774,0.781,0.779
846785,0.785,0.775
847796,0.787,0.781
848807,0.782,0.781
849818,0.793,0.774
850829,0.789,0.773
851840,0.792,0.771
852882,0.792,0.771
853893,0.791,0.774
854904,0.788,0.778
855915,0.788,0.773
856926,0.789,0.777
857937,0.784,0.781
858948,0.790,0.778
859963,0.789,0.777
860974,0.786,0.778
861985,0.782,0.776
862996,0.787,0.776
864007,0.795,0.770
865018,0.785,0.778
866029,0.792,0.774
867040,0.790,0.777
868051,0.793,0.772
869062,0.794,0.775
870073,0.793,0.774
871084,0.787,0.777
872095,0.782,0.775
873106,0.784,0.782
874117,0.793,0.773
875129,0.786,0.777
876140,0.788,0.778
877151,0.793,0.775
878162,0.793,0.773
879173,0.792,0.774
880184,0.784,0.771
881195,0.795,0.770
882206,0.792,0.778
883217,0.793,0.772
884237,0.785,0.780
885246,0.785,0.778
886258,0.785,0.781
887269,0.785,0.778
888280,0.784,0.777
889291,0.787,0.774
890302,0.781,0.770
891313,0.789,0.778
892325,0.788,0.771
893336,0.784,0.777
894347,0.787,0.773
895358,0.793,0.770
896369,0.785,0.775
897380,0.787,0.777
898391,0.786,0.775
899402,0.785,0.777
900413,0.784,0.775
901424,0.787,0.782
902435,0.792,0.773
903446,0.785,0.775
904457,0.782,0.776
905468,0.792,0.773
906479,0.787,0.778
907490,0.782,0.771
908501,0.789,0.769
909512,0.790,0.771
910523,0.788,0.777
911538,0.783,0.780
912549,0.792,0.777
913560,0.792,0.775
914571,0.780,0.770
915582,0.784,0.775
916593,0.789,0.773
917604,0.791,0.777
918616,0.790,0.766
919627,0.788,0.770
920638,0.786,0.779
921649,0.786,0.776
922660,0.781,0.776
923671,0.783,0.778
924682,0.779,0.776
925693,0.785,0.774
926704,0.780,0.781
927715,0.783,0.778
928726,0.789,0.770
929737,0.782,0.774
930748,0.786,0.773
931759,0.784,0.778
932770,0.782,0.778
933781,0.782,0.775
934792,0.785,0.778
935803,0.789,0.777
936814,0.778,0.774
937829,0.792,0.768
938840,0.774,0.768
939851,0.781,0.772
940862,0.782,0.776
941873,0.786,0.770
942884,0.782,0.774
943895,0.780,0.777
944906,0.785,0.778
945918,0.787,0.771
946929,0.788,0.770
947940,0.779,0.775
948951,0.778,0.777
949962,0.786,0.777
950973,0.787,0.768
951984,0.779,0.774
952995,0.777,0.773
954006,0.785,0.768
955017,0.779,0.778
956028,0.782,0.774
957039,0.786,0.773
958050,0.785,0.774
959061,0.785,0.770
960072,0.780,0.776
961083,0.788,0.766
962094,0.785,0.777
963109,0.781,0.765
964120,0.788,0.769
965131,0.781,0.767
966142,0.784,0.773
967153,0.786,0.770
968164,0.786,0.770
969175,0.785,0.771
970194,0.778,0.773
971205,0.785,0.770
972216,0.781,0.775
973237,0.782,0.774
974248,0.778,0.781
975259,0.789,0.772
976270,0.786,0.768
977281,0.781,0.773
978292,0.779,0.775
979303,0.785,0.774
980314,0.782,0.775
981325,0.779,0.775
982336,0.780,0.770
983347,0.788,0.767
984358,0.782,0.773
985370,0.784,0.769
986381,0.779,0.775
987392,0.777,0.771
988403,0.781,0.762
989418,0.789,0.765
990429,0.780,0.772
991440,0.777,0.777
992451,0.778,0.773
993462,0.788,0.770
994473,0.782,0.770
995484,0.785,0.773
996495,0.783,0.773
997506,0.778,0.773
998517,0.776,0.774
999528,0.779,0.772
1000539,0.783,0.765
1001550,0.778,0.771
1002561,0.774,0.770
1003572,0.782,0.772
1004583,0.781,0.775
1005594,0.782,0.771
1006605,0.780,0.777
1007616,0.779,0.770
1008627,0.783,0.774
1009638,0.785,0.766
1010649,0.779,0.772
1011660,0.782,0.770
1012671,0.771,0.768
1013682,0.778,0.774
1014697,0.775,0.769
1015708,0.775,0.774
1016719,0.780,0.775
1017730,0.786,0.768
1018741,0.786,0.770
1019752,0.776,0.773
1020763,0.777,0.769
1021774,0.784,0.766
1022785,0.782,0.771
1023796,0.787,0.769
1024807,0.789,0.773
1025818,0.785,0.771
1026829,0.785,0.770
1027840,0.789,0.768
1028851,0.776,0.771
1029862,0.783,0.777
1030873,0.784,0.770
1031884,0.793,0.775
1032895,0.788,0.769
1033906,0.785,0.772
1034917,0.782,0.770
1035928,0.784,0.776
1036939,0.780,0.774
1037950,0.780,0.773
1038965,0.781,0.776
1039976,0.786,0.772
1040987,0.790,0.771
1041998,0.788,0.771
1043009,0.779,0.778
1044020,0.790,0.771
1045031,0.784,0.776
1046042,0.779,0.775
1047053,0.782,0.775
1048064,0.785,0.770
1049075,0.784,0.771
1050086,0.782,0.776
1051097,0.778,0.774
1052108,0.784,0.774
1053119,0.781,0.762
1054130,0.777,0.773
1055141,0.780,0.776
1056152,0.784,0.772
1057163,0.787,0.776
1058174,0.789,0.774
1059185,0.786,0.775
1060196,0.780,0.775
1061207,0.785,0.770
1062218,0.785,0.773
1063229,0.786,0.771
1064244,0.790,0.776
1065255,0.785,0.774
1066297,0.779,0.774
1067308,0.785,0.770
1068319,0.782,0.772
1069330,0.780,0.776
1070341,0.782,0.772
1071352,0.784,0.770
1072363,0.784,0.766
1073374,0.775,0.770
1074385,0.794,0.768
1075397,0.782,0.769
1076408,0.785,0.769
1077419,0.789,0.770
1078430,0.778,0.773
1079441,0.780,0.771
1080453,0.780,0.774
1081464,0.787,0.774
1082475,0.781,0.768
1083486,0.781,0.775
1084497,0.781,0.777
1085509,0.792,0.770
1086520,0.782,0.773
1087531,0.788,0.766
1088546,0.785,0.769
1089557,0.786,0.769
1090568,0.778,0.775
1091579,0.782,0.770
1092590,0.778,0.777
1093601,0.777,0.770
1094612,0.785,0.768
1095623,0.786,0.773
1096634,0.785,0.770
1097645,0.789,0.771
1098656,0.788,0.768
1099667,0.779,0.775
1100678,0.778,0.775
1101689,0.779,0.773
1102700,0.778,0.773
1103711,0.778,0.778
1104722,0.786,0.773
1105733,0.781,0.774
1106744,0.783,0.771
1107755,0.780,0.774
1108766,0.777,0.774
1109777,0.782,0.771
1110788,0.786,0.769
1111799,0.787,0.771
1112814,0.776,0.774
1113825,0.781,0.768
1114836,0.782,0.771
1115847,0.786,0.769
1116858,0.786,0.770
1117869,0.780,0.771
1118880,0.781,0.771
1119891,0.785,0.771
1120902,0.779,0.769
1121913,0.782,0.773
1122924,0.789,0.774
1123935,0.786,0.770
1124946,0.785,0.769
1125957,0.785,0.767
1126968,0.778,0.773
1127979,0.781,0.771
1128990,0.780,0.776
1130001,0.786,0.766
1131012,0.785,0.777
1132023,0.779,0.776
1133034,0.783,0.773
1134045,0.781,0.777
1135056,0.785,0.776
1136067,0.789,0.770
1137078,0.784,0.774
1138093,0.781,0.770
1139104,0.782,0.772
1140124,0.789,0.770
1141135,0.789,0.767
1142146,0.789,0.767
1143157,0.779,0.777
1144168,0.788,0.774
1145179,0.778,0.772
1146190,0.776,0.774
1147201,0.786,0.767
1148212,0.781,0.774
1149223,0.779,0.772
1150234,0.781,0.772
1151245,0.783,0.769
1152256,0.772,0.770
1153267,0.787,0.769
1154278,0.778,0.774
1155289,0.778,0.773
1156300,0.787,0.770
1157311,0.777,0.774
1158322,0.785,0.773
1159333,0.786,0.770
1160344,0.783,0.772
1161355,0.777,0.768
1162370,0.775,0.772
1163381,0.783,0.769
1164392,0.785,0.768
1165403,0.774,0.776
1166414,0.785,0.768
1167425,0.774,0.777
1168436,0.783,0.770
1169447,0.785,0.775
1170458,0.778,0.774
1171469,0.782,0.769
1172480,0.780,0.775
1173491,0.781,0.771
1174502,0.792,0.773
1175513,0.781,0.773
1176524,0.781,0.771
1177535,0.775,0.765
