ms,Analog Sensor 1,Analog Sensor 2
0,0.785,0.724
1011,0.785,0.723
2022,0.780,0.730
3033,0.781,0.730
4044,0.788,0.724
5054,0.783,0.723
6064,0.790,0.722
7074,0.787,0.729
8085,0.787,0.723
9096,0.775,0.732
10107,0.789,0.720
11117,0.778,0.725
12127,0.782,0.726
13137,0.778,0.731
14148,0.790,0.715
15158,0.789,0.728
16168,0.780,0.726
17178,0.782,0.725
18189,0.790,0.723
19199,0.778,0.724
20209,0.779,0.726
21219,0.779,0.727
22229,0.781,0.724
23239,0.780,0.722
24249,0.773,0.723
25259,0.778,0.729
26272,0.786,0.723
27282,0.778,0.729
28293,0.773,0.726
29303,0.786,0.725
30313,0.777,0.722
31323,0.801,0.726
32333,0.782,0.727
33343,0.788,0.714
34353,0.780,0.724
35363,0.776,0.728
36373,0.780,0.723
37384,0.780,0.723
38394,0.786,0.716
39404,0.777,0.722
40414,0.790,0.726
41424,0.784,0.725
42434,0.793,0.714
43444,0.781,0.723
44454,0.790,0.723
45464,0.785,0.734
46475,0.786,0.722
47485,0.790,0.726
48495,0.785,0.728
49505,0.788,0.723
50515,0.789,0.718
51525,0.785,0.726
52535,0.784,0.723
53548,0.779,0.732
54558,0.781,0.726
55568,0.790,0.717
56579,0.778,0.723
57589,0.770,0.726
58599,0.773,0.732
59609,0.773,0.724
60619,0.774,0.734
61629,0.781,0.728
62639,0.771,0.731
63649,0.789,0.726
64659,0.781,0.725
65669,0.774,0.723
66679,0.775,0.728
67689,0.768,0.729
68699,0.780,0.720
69709,0.780,0.726
70720,0.780,0.731
71730,0.759,0.723
72740,0.782,0.719
73751,0.795,0.719
74761,0.778,0.726
75772,0.784,0.722
76782,0.785,0.715
77792,0.777,0.727
78802,0.775,0.727
79812,0.781,0.715
80825,0.778,0.720
81835,0.792,0.720
82845,0.749,0.723
83855,0.775,0.724
84865,0.788,0.718
85876,0.778,0.721
86886,0.774,0.722
87896,0.775,0.724
88906,0.781,0.720
89916,0.795,0.722
90926,0.766,0.721
91936,0.814,0.726
92946,0.793,0.716
93956,0.789,0.721
94967,0.786,0.718
95977,0.789,0.724
96987,0.793,0.717
97997,0.786,0.725
99007,0.778,0.720
100017,0.770,0.722
101027,0.794,0.722
102037,0.773,0.743
103047,0.776,0.724
104058,0.778,0.723
105068,0.781,0.720
106078,0.781,0.722
107088,0.785,0.719
108101,0.780,0.717
109112,0.778,0.724
110122,0.782,0.721
111132,0.782,0.729
112142,0.798,0.721
113152,0.774,0.723
114162,0.784,0.723
115172,0.785,0.703
116182,0.775,0.727
117192,0.779,0.723
118203,0.788,0.718
119214,0.782,0.712
120232,0.781,0.725
121242,0.753,0.718
122252,0.778,0.723
123262,0.787,0.718
124272,0.779,0.715
125282,0.768,0.718
126292,0.785,0.721
127302,0.781,0.724
128312,0.784,0.711
129322,0.791,0.716
130332,0.789,0.718
131342,0.787,0.717
132352,0.783,0.718
133361,0.778,0.723
134371,0.784,0.718
135381,0.787,0.715
136391,0.783,0.715
137401,0.770,0.724
138411,0.767,0.728
139421,0.785,0.723
140431,0.786,0.717
141441,0.777,0.723
142451,0.786,0.717
143461,0.789,0.716
144471,0.781,0.722
145481,0.780,0.721
146491,0.771,0.719
147502,0.785,0.704
148512,0.775,0.724
149522,0.766,0.720
150532,0.786,0.715
151542,0.777,0.716
152552,0.781,0.719
153562,0.776,0.724
154572,0.785,0.716
155582,0.782,0.716
156593,0.778,0.722
157603,0.774,0.722
158613,0.781,0.723
159626,0.791,0.716
160636,0.778,0.720
161647,0.771,0.726
162658,0.778,0.721
163668,0.778,0.727
164678,0.765,0.734
165688,0.797,0.721
166699,0.793,0.716
167709,0.780,0.722
168719,0.776,0.723
169729,0.787,0.718
170739,0.773,0.724
171749,0.787,0.716
172759,0.778,0.722
173769,0.762,0.720
174779,0.774,0.728
175790,0.786,0.719
176801,0.773,0.735
177811,0.778,0.724
178821,0.782,0.719
179831,0.785,0.730
180842,0.779,0.714
181852,0.785,0.718
182862,0.785,0.715
183872,0.753,0.717
184882,0.769,0.732
185895,0.769,0.732
186905,0.780,0.717
187915,0.787,0.721
188925,0.785,0.723
189935,0.784,0.721
190946,0.772,0.722
191956,0.785,0.716
192966,0.772,0.726
194014,0.787,0.705
195024,0.775,0.718
196034,0.782,0.716
197044,0.783,0.717
198054,0.772,0.722
199064,0.795,0.720
200074,0.778,0.722
201084,0.780,0.715
202094,0.779,0.715
203104,0.781,0.718
204114,0.770,0.721
205124,0.773,0.717
206134,0.787,0.714
207144,0.781,0.718
208154,0.777,0.720
209164,0.776,0.720
210174,0.771,0.715
211187,0.781,0.719
212197,0.783,0.717
213207,0.777,0.722
214217,0.771,0.720
215227,0.778,0.719
216237,0.778,0.721
217247,0.783,0.711
218257,0.789,0.718
219267,0.777,0.723
220277,0.809,0.719
221287,0.778,0.723
222297,0.785,0.716
223308,0.778,0.720
224318,0.783,0.720
225328,0.781,0.720
226338,0.801,0.709
227348,0.779,0.717
228358,0.771,0.717
229368,0.789,0.718
230378,0.782,0.717
231388,0.790,0.717
232398,0.778,0.717
233408,0.782,0.715
234418,0.786,0.712
235428,0.774,0.720
236438,0.762,0.717
237451,0.788,0.716
238461,0.780,0.718
239471,0.785,0.716
240481,0.771,0.724
241491,0.782,0.715
242501,0.801,0.716
243511,0.776,0.717
244529,0.781,0.714
245551,0.776,0.718
246561,0.772,0.718
247571,0.776,0.714
248581,0.774,0.715
249591,0.783,0.706
250601,0.781,0.711
251611,0.778,0.715
252621,0.779,0.714
253632,0.771,0.722
254642,0.768,0.725
255652,0.768,0.720
256662,0.779,0.707
257672,0.771,0.718
258682,0.740,0.722
259692,0.775,0.715
260702,0.774,0.716
261712,0.768,0.719
262721,0.778,0.714
263731,0.781,0.715
264741,0.774,0.721
265751,0.770,0.717
266761,0.781,0.712
267771,0.787,0.715
268781,0.781,0.706
269791,0.772,0.716
270801,0.775,0.715
271811,0.769,0.715
272821,0.767,0.713
273831,0.772,0.719
274841,0.781,0.710
275851,0.779,0.715
276861,0.779,0.712
277871,0.761,0.722
278881,0.770,0.719
279891,0.777,0.707
280901,0.769,0.718
281912,0.785,0.717
282922,0.778,0.714
283932,0.769,0.718
284942,0.778,0.711
285953,0.777,0.708
286963,0.767,0.720
287973,0.766,0.719
288986,0.759,0.713
289996,0.766,0.717
291006,0.782,0.714
292016,0.758,0.713
293026,0.773,0.715
294036,0.777,0.715
295046,0.758,0.719
296057,0.768,0.716
297067,0.761,0.713
298077,0.767,0.709
299087,0.770,0.717
300097,0.764,0.713
301107,0.768,0.712
302117,0.764,0.715
303127,0.762,0.716
304137,0.779,0.714
305147,0.777,0.712
306157,0.772,0.710
307167,0.755,0.715
308177,0.773,0.708
309187,0.781,0.714
310198,0.770,0.708
311208,0.773,0.710
312218,0.773,0.705
313228,0.776,0.715
314238,0.762,0.717
315251,0.759,0.716
316261,0.778,0.710
317271,0.769,0.713
318281,0.771,0.708
319291,0.759,0.713
320302,0.770,0.716
321312,0.775,0.713
322322,0.776,0.707
323332,0.766,0.716
324343,0.775,0.710
325354,0.770,0.711
326364,0.776,0.716
327374,0.756,0.716
328384,0.756,0.710
329394,0.761,0.715
330404,0.768,0.712
331414,0.781,0.704
332424,0.772,0.717
333434,0.770,0.716
334445,0.762,0.716
335455,0.770,0.709
336465,0.788,0.715
337475,0.767,0.718
338485,0.762,0.718
339495,0.764,0.714
340508,0.769,0.716
341518,0.762,0.715
342528,0.772,0.708
343538,0.763,0.707
344548,0.763,0.717
345558,0.772,0.710
346568,0.800,0.711
347578,0.753,0.712
348588,0.770,0.713
349598,0.778,0.710
350608,0.766,0.715
351618,0.763,0.716
352628,0.765,0.708
353638,0.744,0.721
354648,0.761,0.711
355658,0.768,0.707
356668,0.772,0.708
357678,0.771,0.712
358688,0.766,0.716
359698,0.753,0.712
360708,0.760,0.718
361718,0.759,0.711
362729,0.762,0.715
363739,0.768,0.715
364749,0.770,0.705
365759,0.765,0.707
366772,0.754,0.714
367791,0.761,0.716
368802,0.768,0.708
369812,0.759,0.714
370822,0.763,0.715
371832,0.762,0.715
372842,0.758,0.715
373852,0.756,0.711
374862,0.731,0.710
375872,0.754,0.713
376882,0.766,0.710
377893,0.766,0.714
