ms,electrode
0,0.577
1021,0.603
2032,0.619
3043,0.619
4054,0.622
5065,0.453
6076,0.618
7087,0.624
8098,0.622
9109,0.622
10120,0.622
11131,0.610
12142,0.449
13153,0.444
14164,0.618
15175,0.621
16186,0.567
17197,0.604
18208,0.625
19219,0.651
20230,0.652
21241,0.650
22252,0.652
23263,0.635
24274,0.645
25285,0.654
26296,0.652
27307,0.648
28318,0.636
29329,0.644
30340,0.641
31351,0.641
32362,0.639
33374,0.617
34386,0.634
35397,0.637
36408,0.635
37419,0.638
38430,0.650
39441,0.645
40456,0.635
41467,0.635
42478,0.625
43489,0.633
44500,0.641
45511,0.637
46522,0.637
47533,0.617
48544,0.698
49555,0.622
50566,0.692
51577,0.689
52588,0.685
53599,0.511
54610,0.684
55621,0.520
56632,0.686
57643,0.650
58654,0.631
59665,0.577
60676,0.610
61687,0.643
62698,0.610
63709,0.611
64720,0.637
65731,0.621
66742,0.640
67753,0.634
68764,0.638
69775,0.636
70786,0.637
71797,0.656
72808,0.632
73819,0.641
74830,0.637
75841,0.633
76852,0.636
77863,0.643
78874,0.635
79889,0.642
80900,0.641
81911,0.639
82922,0.639
83933,0.640
84944,0.634
85955,0.640
86966,0.622
87977,0.625
88988,0.630
89999,0.636
91010,0.641
92021,0.638
93032,0.641
94043,0.637
95054,0.638
96065,0.636
97076,0.635
98087,0.632
99098,0.630
100109,0.639
101120,0.624
102131,0.635
103142,0.633
104153,0.642
105164,0.630
106175,0.633
107186,0.637
108197,0.613
109208,0.584
110219,0.647
111230,0.642
112241,0.642
113252,0.599
114263,0.632
115274,0.640
116285,0.641
117296,0.633
118310,0.634
119321,0.625
120332,0.625
121343,0.630
122354,0.634
123365,0.637
124376,0.633
125387,0.636
126398,0.637
127409,0.640
128420,0.632
129431,0.634
130442,0.520
131453,0.623
132464,0.637
133475,0.625
134486,0.635
135497,0.630
136508,0.636
137519,0.637
138539,0.641
139550,0.639
140561,0.645
141572,0.639
142583,0.637
143594,0.637
144605,0.641
145616,0.641
146627,0.647
147638,0.638
148649,0.623
149660,0.641
150671,0.643
151682,0.645
152693,0.650
153704,0.634
154715,0.638
155730,0.648
156741,0.646
157752,0.646
158763,0.636
159774,0.643
160785,0.646
161796,0.642
162807,0.643
163818,0.645
164829,0.643
165840,0.645
166851,0.644
167862,0.641
168873,0.648
169884,0.645
170895,0.648
171906,0.579
172917,0.661
173928,0.652
174939,0.633
175950,0.637
176961,0.640
177972,0.641
178983,0.641
179994,0.640
181005,0.646
182016,0.640
183027,0.652
184038,0.645
185049,0.637
186060,0.638
187071,0.641
188082,0.642
189093,0.643
190104,0.645
191115,0.642
192130,0.646
193141,0.640
194152,0.699
195163,0.537
196174,0.707
197185,0.698
198196,0.697
199207,0.599
200218,0.702
201229,0.653
202240,0.703
203251,0.611
204262,0.703
205273,0.533
206284,0.703
207295,0.695
208306,0.523
209317,0.544
210328,0.698
211339,0.520
212380,0.527
213391,0.527
214402,0.706
215413,0.531
216424,0.696
217435,0.693
218446,0.703
219457,0.700
220468,0.535
221479,0.649
222490,0.699
223501,0.530
224512,0.642
225523,0.650
226534,0.645
227545,0.645
228556,0.599
229571,0.647
230582,0.649
231593,0.639
232604,0.645
233615,0.650
234626,0.653
235637,0.645
236656,0.630
237667,0.644
238678,0.646
239689,0.652
240700,0.650
241711,0.649
242722,0.644
243733,0.645
244744,0.645
245764,0.649
246775,0.652
247786,0.604
248797,0.648
249808,0.645
250819,0.651
251830,0.649
252841,0.645
253853,0.652
254864,0.646
255875,0.645
256886,0.645
257897,0.645
258908,0.653
259919,0.625
260930,0.639
261941,0.636
262952,0.638
263963,0.643
264974,0.647
265983,0.652
266994,0.648
268005,0.656
269016,0.656
270027,0.652
271038,0.653
272049,0.656
273060,0.656
274071,0.666
275082,0.671
276093,0.671
277104,0.680
278115,0.674
279126,0.674
280137,0.670
281148,0.664
282159,0.675
283170,0.673
284181,0.677
285192,0.684
286203,0.668
287214,0.669
288225,0.675
289236,0.676
290247,0.668
291258,0.668
292269,0.670
293280,0.667
294291,0.671
295302,0.668
296313,0.674
297324,0.671
298335,0.678
299346,0.683
300357,0.685
301368,0.687
302379,0.688
303394,0.689
304405,0.688
305416,0.693
306427,0.691
307438,0.693
308449,0.706
309460,0.705
310471,0.696
311482,0.676
312493,0.696
313504,0.696
314515,0.703
315526,0.692
316537,0.731
317548,0.672
318559,0.726
319570,0.677
320581,0.707
321592,0.710
322603,0.716
323614,0.716
324625,0.719
325636,0.714
326647,0.721
327658,0.721
328669,0.747
329680,0.755
330691,0.766
331702,0.771
332713,0.765
333724,0.761
334735,0.758
335746,0.755
336757,0.758
337768,0.753
338779,0.756
339790,0.745
340805,0.774
341816,0.779
342827,0.776
343838,0.774
344849,0.768
345860,0.769
346871,0.771
347882,0.763
348893,0.759
349904,0.746
350915,0.758
351926,0.762
352937,0.766
353948,0.771
354959,0.775
355970,0.718
356981,0.765
357992,0.744
359003,0.741
360014,0.737
361025,0.766
362036,0.737
363047,0.739
364058,0.713
365069,0.680
366080,0.708
367091,0.686
368102,0.702
369113,0.705
370124,0.707
371135,0.724
372146,0.731
373157,0.734
374168,0.726
375179,0.699
376190,0.735
377205,0.739
378216,0.730
379227,0.724
380238,0.718
381249,0.720
382260,0.738
383271,0.718
384282,0.731
385293,0.705
386304,0.741
387315,0.698
388326,0.737
389337,0.727
390348,0.736
391359,0.739
392370,0.700
393381,0.727
394401,0.738
395412,0.799
396423,0.801
397434,0.819
398445,0.830
399456,0.855
400467,0.860
401478,0.879
402489,0.891
403500,0.918
404511,0.913
405522,0.907
406533,0.918
407544,0.913
408555,0.880
409566,0.886
410577,0.906
411588,0.845
412599,0.906
413610,0.717
414625,0.641
415636,0.606
416647,0.625
417658,0.624
418669,0.617
419680,0.610
420691,0.631
421702,0.641
422713,0.640
423724,0.645
424735,0.640
425776,0.637
426787,0.640
427798,0.632
428809,0.632
429820,0.610
430831,0.635
431842,0.637
432853,0.633
433864,0.633
434875,0.639
435886,0.637
436897,0.633
437908,0.635
438919,0.638
439930,0.638
440941,0.642
441952,0.646
442963,0.649
443974,0.652
444985,0.647
445996,0.652
447007,0.650
448018,0.651
449029,0.651
450040,0.650
451055,0.650
452066,0.650
453077,0.649
454088,0.649
455099,0.651
456110,0.654
457121,0.654
458132,0.654
459143,0.658
460154,0.660
461165,0.661
462176,0.661
463187,0.663
464198,0.660
465209,0.667
466220,0.665
467231,0.672
468242,0.669
469253,0.677
470264,0.673
471275,0.673
472286,0.674
473297,0.675
474308,0.671
475319,0.675
476330,0.672
477341,0.673
478352,0.676
479363,0.677
480374,0.680
481385,0.683
482404,0.684
483415,0.688
484426,0.689
485437,0.688
486448,0.689
487459,0.690
488474,0.692
489485,0.694
490505,0.696
491516,0.697
492527,0.699
