ms,electrode
0,0.467
1011,0.466
2023,0.468
3034,0.466
4045,0.469
5056,0.473
6067,0.473
7078,0.473
8089,0.465
9100,0.466
10111,0.464
11122,0.466
12133,0.473
13144,0.464
14155,0.469
15166,0.464
16177,0.466
17188,0.473
18199,0.474
19210,0.465
20221,0.467
21232,0.472
22243,0.473
23254,0.466
24265,0.463
25276,0.465
26287,0.465
27298,0.472
28309,0.473
29320,0.465
30331,0.462
31342,0.474
32353,0.472
33364,0.465
34376,0.460
35387,0.469
36398,0.469
37409,0.472
38420,0.467
39431,0.461
40446,0.469
41457,0.469
42468,0.468
43479,0.389
44490,0.401
45501,0.394
46512,0.400
47523,0.395
48534,0.394
49545,0.395
50556,0.401
51567,0.402
52578,0.451
53589,0.456
54600,0.400
55611,0.396
56622,0.403
57633,0.403
58644,0.392
59655,0.395
60666,0.394
61678,0.396
62689,0.393
63700,0.402
64711,0.395
65722,0.392
66734,0.399
67745,0.394
68756,0.398
69767,0.402
70778,0.392
71790,0.399
72801,0.401
73812,0.395
74823,0.399
75834,0.391
76845,0.395
77856,0.395
78867,0.398
79882,0.397
80893,0.395
81904,0.396
82915,0.399
83926,0.398
84937,0.401
85948,0.400
86959,0.399
87970,0.395
88981,0.392
89992,0.390
91003,0.392
92014,0.388
93025,0.384
94036,0.393
95047,0.392
96058,0.402
97069,0.395
98080,0.399
99091,0.394
100102,0.394
101113,0.392
102124,0.391
103135,0.397
104146,0.405
105157,0.399
106168,0.391
107179,0.395
108190,0.391
109201,0.397
110212,0.398
111223,0.391
112234,0.400
113245,0.398
114256,0.398
115267,0.395
116278,0.391
117289,0.394
118304,0.399
119315,0.388
120326,0.392
121337,0.390
122348,0.395
123359,0.398
124370,0.392
125381,0.399
126392,0.401
127403,0.390
128414,0.399
129425,0.389
130436,0.391
131447,0.395
132458,0.393
133469,0.390
134480,0.390
135491,0.392
136502,0.388
137513,0.397
138524,0.401
139535,0.403
140546,0.391
141557,0.391
142568,0.395
143579,0.403
144590,0.393
145601,0.390
146612,0.399
147623,0.395
148634,0.390
149655,0.396
150666,0.396
151677,0.396
152688,0.392
153699,0.397
154710,0.391
155725,0.392
156736,0.387
157747,0.399
158758,0.392
159769,0.397
160780,0.392
161791,0.397
162802,0.388
163813,0.397
164824,0.399
165835,0.389
166846,0.398
167857,0.390
168868,0.389
169879,0.400
170890,0.399
171901,0.394
172912,0.394
173923,0.394
174935,0.398
175946,0.391
176957,0.395
177968,0.398
178979,0.395
179991,0.394
181002,0.398
182013,0.395
183062,0.387
184073,0.391
185084,0.394
186095,0.399
187106,0.391
188117,0.393
189128,0.397
190139,0.402
191150,0.389
192165,0.396
193176,0.398
194187,0.398
195198,0.394
196209,0.395
197220,0.389
198231,0.394
199242,0.397
200253,0.388
201264,0.397
202275,0.396
203286,0.396
204297,0.399
205308,0.395
206319,0.399
207330,0.395
208341,0.392
209352,0.395
210363,0.387
211374,0.388
212385,0.387
213396,0.397
214407,0.390
215418,0.390
216429,0.392
217440,0.391
218451,0.391
219462,0.387
220473,0.393
221484,0.392
222496,0.388
223507,0.389
224518,0.398
225529,0.395
226549,0.387
227560,0.394
228571,0.388
229586,0.389
230597,0.394
231608,0.395
232619,0.389
233630,0.395
234641,0.396
235652,0.387
236663,0.398
237674,0.394
238685,0.395
239705,0.399
240716,0.387
241727,0.389
242738,0.390
243749,0.387
244760,0.390
245771,0.388
246782,0.395
247793,0.391
248804,0.387
249815,0.396
250826,0.389
251837,0.394
252848,0.387
253859,0.399
254870,0.389
255881,0.392
256892,0.391
257903,0.392
258914,0.395
259925,0.395
260936,0.391
261948,0.386
262959,0.391
263970,0.392
264981,0.392
265990,0.392
267002,0.390
268013,0.388
269024,0.395
270035,0.384
271046,0.387
272058,0.395
273069,0.391
274080,0.388
275091,0.395
276102,0.389
277113,0.386
278124,0.395
279135,0.392
280146,0.394
281157,0.390
282168,0.390
283179,0.393
284190,0.393
285201,0.388
286212,0.396
287223,0.389
288234,0.386
289245,0.375
290256,0.375
291267,0.399
292278,0.375
293289,0.385
294300,0.401
295311,0.395
296322,0.387
297333,0.390
298344,0.391
299355,0.398
300366,0.391
301377,0.394
302388,0.387
303403,0.387
304414,0.393
305425,0.395
306436,0.398
307447,0.380
308458,0.396
309469,0.391
310480,0.389
311491,0.388
312502,0.389
313513,0.390
314524,0.387
315535,0.393
316546,0.390
317557,0.395
318568,0.389
319579,0.400
320590,0.387
321601,0.389
322612,0.392
323623,0.395
324634,0.387
325645,0.388
326656,0.389
327667,0.388
328678,0.387
329689,0.387
330700,0.389
331711,0.392
332722,0.395
333733,0.396
334744,0.388
335755,0.394
336766,0.394
337777,0.394
338788,0.387
339799,0.395
340814,0.398
341825,0.390
342836,0.391
343847,0.394
344858,0.394
345869,0.399
346880,0.394
347891,0.396
348902,0.398
349913,0.394
350924,0.391
351936,0.395
352947,0.392
353958,0.395
354969,0.389
355980,0.395
356991,0.392
358002,0.385
359013,0.395
360024,0.395
361035,0.391
362046,0.389
363057,0.387
364068,0.389
365079,0.387
366090,0.388
367101,0.390
368112,0.395
369123,0.394
370134,0.396
371145,0.389
372156,0.394
373167,0.400
374178,0.496
375189,0.493
376200,0.486
377215,0.481
378226,0.483
379237,0.484
380248,0.478
381297,0.469
382308,0.469
383319,0.464
384330,0.467
385341,0.465
386352,0.466
387363,0.473
388374,0.460
389385,0.476
390396,0.312
391407,0.323
392418,0.332
393429,0.306
394440,0.270
395451,0.269
396462,0.282
397473,0.277
398484,0.270
399495,0.270
400506,0.272
401517,0.272
402528,0.270
403549,0.271
404560,0.274
405571,0.274
406582,0.281
407593,0.273
408604,0.277
409615,0.262
410626,0.293
411637,0.275
412648,0.300
413659,0.286
414674,0.285
415685,0.276
416696,0.491
417707,0.567
418718,0.634
419729,0.665
420740,0.668
421751,0.601
422762,0.585
423773,0.583
424784,0.584
425795,0.591
426806,0.587
427817,0.592
428828,0.606
429839,0.589
430850,0.591
431861,0.591
432872,0.590
433883,0.586
434894,0.592
435905,0.582
436916,0.570
437927,0.569
438938,0.570
439949,0.567
440960,0.563
441971,0.567
442982,0.566
443993,0.567
445004,0.562
446015,0.568
447026,0.574
448037,0.573
449048,0.559
450059,0.564
451074,0.563
452085,0.566
453096,0.563
454107,0.577
455118,0.578
456129,0.576
457140,0.576
458151,0.579
459162,0.573
460173,0.570
461184,0.572
462195,0.575
463206,0.567
464217,0.567
465228,0.590
466239,0.590
467250,0.596
468261,0.591
469272,0.588
470283,0.579
471302,0.577
472313,0.586
473324,0.594
474335,0.598
475346,0.598
476357,0.596
477368,0.598
478379,0.603
479390,0.597
480401,0.600
481412,0.595
482423,0.594
483434,0.601
484445,0.598
485465,0.595
486476,0.587
487487,0.590
488502,0.584
489513,0.600
490524,0.606
491535,0.602
492546,0.603
493557,0.595
494568,0.591
495579,0.585
496590,0.591
497601,0.591
498612,0.584
499623,0.593
500634,0.584
501645,0.580
502656,0.582
503667,0.582
504678,0.584
505689,0.564
506700,0.566
507711,0.568
508722,0.568
509733,0.557
510744,0.562
511755,0.543
512766,0.541
513777,0.539
514788,0.543
515799,0.524
516810,0.528
517821,0.535
518832,0.530
519843,0.533
520854,0.532
521865,0.542
522876,0.539
523887,0.543
524896,0.535
525907,0.531
526918,0.529
527929,0.522
528940,0.534
529951,0.527
530962,0.530
531973,0.542
532984,0.544
533995,0.542
535006,0.543
536017,0.537
537028,0.530
538039,0.541
539050,0.541
540061,0.533
541072,0.532
542083,0.530
543094,0.546
544105,0.546
545116,0.551
546127,0.573
547138,0.568
548149,0.563
549160,0.572
550171,0.566
551182,0.569
552193,0.558
553204,0.557
554215,0.559
555226,0.566
556237,0.560
557248,0.559
558259,0.559
559270,0.555
560281,0.557
561292,0.544
562307,0.547
563318,0.554
564329,0.544
565340,0.554
566351,0.551
567362,0.563
568373,0.557
569384,0.564
570395,0.561
571406,0.561
572417,0.559
573428,0.555
574439,0.559
575450,0.563
576461,0.559
577472,0.558
578483,0.561
579532,0.559
580543,0.559
581554,0.554
582565,0.576
583576,0.577
584587,0.590
585598,0.586
586609,0.591
587620,0.591
588631,0.582
589642,0.587
590653,0.583
591664,0.574
592675,0.581
593686,0.598
594697,0.594
595708,0.588
596719,0.592
597730,0.588
598741,0.584
599756,0.586
600767,0.579
601778,0.586
602789,0.588
603800,0.581
604811,0.585
605822,0.595
606833,0.595
607844,0.600
608855,0.590
609866,0.602
610877,0.589
611888,0.591
612899,0.588
613910,0.590
614921,0.607
615932,0.599
616943,0.610
617954,0.606
618965,0.607
619976,0.603
620987,0.610
621998,0.607
623009,0.603
624020,0.611
625031,0.615
626042,0.620
627053,0.600
628064,0.599
629075,0.591
630086,0.598
631097,0.590
632108,0.597
633119,0.589
634130,0.585
635141,0.574
636156,0.573
637167,0.589
638178,0.589
639189,0.590
640200,0.594
641211,0.584
642222,0.593
643233,0.589
644244,0.586
645255,0.585
646266,0.595
647277,0.589
648288,0.583
649299,0.586
650310,0.587
651321,0.591
652332,0.583
653343,0.594
654354,0.589
655365,0.599
656376,0.592
657397,0.593
658408,0.585
659419,0.587
660430,0.594
661441,0.590
662452,0.598
663463,0.606
664474,0.598
665485,0.603
666496,0.602
667507,0.605
668518,0.603
669529,0.601
670540,0.598
671551,0.600
672562,0.597
673577,0.607
674588,0.591
675599,0.599
676610,0.599
677621,0.605
678632,0.599
679643,0.593
680654,0.589
681665,0.587
682676,0.598
683687,0.596
684698,0.604
685709,0.593
686720,0.594
687731,0.582
688742,0.568
689753,0.574
690764,0.570
691775,0.559
692786,0.553
693797,0.566
694808,0.588
695819,0.574
696830,0.572
697841,0.580
